i,dtime,fuellevel,ingection,speed,height,tachometer
213,2020-01-09 16:06:33,35.3,1,98,13.4,3552
214,2020-01-09 16:07:33,35.3,1,83,8.9,3040
215,2020-01-09 16:08:33,35.0,1,97,10.1,3552
216,2020-01-09 16:09:33,34.9,1,98,17.0,3616
217,2020-01-09 16:10:33,34.4,1,93,17.0,3392
218,2020-01-09 16:11:33,34.2,1,93,15.0,3392
219,2020-01-09 16:12:33,34.6,1,95,12.1,3456
220,2020-01-09 16:13:33,34.8,1,89,25.4,3264
221,2020-01-09 16:14:33,34.5,1,82,13.3,2944
222,2020-01-09 16:15:33,34.0,1,58,12.7,2432
223,2020-01-09 16:16:33,33.8,1,80,11.5,2944
224,2020-01-09 16:17:33,33.8,1,55,21.7,2336
225,2020-01-09 16:18:33,33.7,1,76,29.2,2752
226,2020-01-09 16:19:33,33.4,1,67,20.8,2432
227,2020-01-09 16:20:33,33.5,1,47,24.3,1920
228,2020-01-09 16:21:33,34.1,1,70,27.2,3008
229,2020-01-09 16:22:33,34.4,1,52,18.6,2112
230,2020-01-09 16:23:33,34.2,1,37,20.1,928
231,2020-01-09 16:24:33,33.7,1,44,13.7,2432
232,2020-01-09 16:25:33,33.6,1,20,17.2,2048
233,2020-01-09 16:26:33,0.0,1,1,14.5,0
234,2020-01-09 16:27:33,0.0,0,0,53.0,0
235,2020-01-09 16:28:33,0.0,0,0,61.3,0
236,2020-01-09 16:29:33,34.4,1,0,61.1,832
237,2020-01-09 16:30:33,35.3,1,6,43.2,2176
238,2020-01-09 16:31:33,35.6,1,0,36.3,960
239,2020-01-09 16:32:33,35.3,1,13,41.2,1184
240,2020-01-09 16:33:33,34.7,1,4,42.4,1024
241,2020-01-09 16:34:33,34.1,1,1,26.5,928
242,2020-01-09 16:35:33,33.5,1,21,26.7,896
243,2020-01-09 16:36:33,33.3,1,24,27.4,2624
244,2020-01-09 16:37:33,33.5,1,37,34.8,2336
245,2020-01-09 16:38:33,33.1,1,55,32.1,1952
246,2020-01-09 16:39:33,32.7,1,11,28.4,2080
247,2020-01-09 16:40:33,33.1,1,54,27.8,2240
248,2020-01-09 16:41:33,33.3,1,53,26.4,2304
249,2020-01-09 16:42:33,33.0,1,73,22.3,2592
250,2020-01-09 16:43:33,33.0,1,66,18.0,2432
251,2020-01-09 16:44:33,33.0,1,57,14.4,2112
252,2020-01-09 16:45:33,32.6,1,64,12.5,2720
253,2020-01-09 16:46:33,32.7,1,75,11.2,2752
254,2020-01-09 16:47:33,32.9,1,81,20.6,2976
255,2020-01-09 16:48:33,33.0,1,91,18.3,3328
256,2020-01-09 16:49:33,32.7,1,80,20.7,2912
257,2020-01-09 16:50:33,32.6,1,91,16.3,3328
258,2020-01-09 16:51:33,32.6,1,91,16.5,3328
259,2020-01-09 16:52:33,32.1,1,90,12.8,3296
260,2020-01-09 16:53:33,32.1,1,87,6.2,3200
261,2020-01-09 16:54:33,31.7,1,88,4.1,3200
262,2020-01-09 16:55:33,32.0,1,94,10.2,3392
263,2020-01-09 16:56:33,32.2,1,91,11.0,3296
264,2020-01-09 16:57:33,32.0,1,85,14.3,3104
265,2020-01-09 16:58:33,32.5,1,89,31.1,3264
266,2020-01-09 16:59:33,32.8,1,94,21.2,3424
267,2020-01-09 17:00:33,32.1,1,98,23.7,3552
268,2020-01-09 17:01:33,30.9,1,97,31.6,3520
269,2020-01-09 17:02:33,30.3,1,85,15.8,3008
270,2020-01-09 17:03:33,30.5,1,86,35.6,3136
271,2020-01-09 17:04:33,31.2,1,96,21.8,3552
272,2020-01-09 17:05:33,31.5,1,86,21.0,3104
273,2020-01-09 17:06:33,31.2,1,85,20.6,3104
274,2020-01-09 17:07:33,31.2,1,87,16.2,3200
275,2020-01-09 17:08:33,31.0,1,86,8.1,3136
276,2020-01-09 17:09:33,30.6,1,68,22.4,2528
277,2020-01-09 17:10:33,30.3,1,29,23.9,896
278,2020-01-09 17:11:33,29.7,1,51,19.8,2144
279,2020-01-09 17:12:33,29.3,1,60,14.0,2592
280,2020-01-09 17:13:33,29.4,1,0,6.0,864
281,2020-01-09 17:14:33,29.6,1,64,11.0,2752
282,2020-01-09 17:15:33,29.6,1,63,4.8,2656
283,2020-01-09 17:16:33,29.3,1,0,2.4,832
284,2020-01-09 17:17:33,29.2,1,0,2.6,832
285,2020-01-09 17:18:33,30.1,1,0,-1.2,832
286,2020-01-09 17:19:33,30.6,1,0,1.6,832
287,2020-01-09 17:20:33,30.5,1,4,3.5,1760
288,2020-01-09 17:21:33,30.4,1,7,3.1,864
289,2020-01-09 17:22:33,0.0,1,7,3.1,0
290,2020-01-09 17:23:33,0.0,0,0,3.9,0
291,2020-01-09 17:24:33,0.0,0,0,3.9,0
292,2020-01-09 17:25:33,0.0,0,0,3.9,0
293,2020-01-09 17:26:33,0.0,0,0,3.9,0
294,2020-01-09 17:27:33,0.0,0,0,3.9,0
295,2020-01-09 17:28:33,0.0,0,0,3.9,0
296,2020-01-09 17:29:33,0.0,0,0,3.9,0
297,2020-01-09 17:30:33,0.0,0,0,3.9,0
298,2020-01-09 17:31:33,0.0,0,0,3.9,0
299,2020-01-09 17:32:33,0.0,0,0,3.9,0
300,2020-01-09 17:33:33,0.0,0,0,3.9,0
301,2020-01-09 17:34:33,0.0,0,0,3.9,0
302,2020-01-09 17:35:33,0.0,0,0,3.9,0
303,2020-01-09 17:36:33,0.0,0,0,3.9,0
304,2020-01-09 17:37:33,0.0,0,0,3.9,0
305,2020-01-09 17:38:33,0.0,0,0,3.9,0
306,2020-01-09 17:39:33,0.0,0,0,3.9,0
307,2020-01-09 17:40:33,0.0,0,0,3.9,0
308,2020-01-09 17:41:33,0.0,0,0,3.9,0
309,2020-01-09 17:42:33,0.0,0,0,3.9,0
310,2020-01-09 17:43:33,0.0,0,0,3.9,0
311,2020-01-09 17:44:33,0.0,0,0,3.9,0
312,2020-01-09 17:45:33,0.0,0,0,3.9,0
313,2020-01-09 17:46:33,0.0,0,0,3.9,0
314,2020-01-09 17:47:33,0.0,0,0,3.9,0
315,2020-01-09 17:48:33,0.0,0,0,3.9,0
316,2020-01-09 17:49:33,0.0,0,0,3.9,0
317,2020-01-09 17:50:33,0.0,0,0,3.9,0
318,2020-01-09 17:51:33,0.0,0,0,3.9,0
319,2020-01-09 17:52:33,0.0,0,0,3.9,0
320,2020-01-09 17:53:33,0.0,0,0,3.9,0
321,2020-01-09 17:54:33,0.0,0,0,3.9,0
322,2020-01-09 17:55:33,0.0,0,0,3.9,0
323,2020-01-09 17:56:33,0.0,0,0,3.9,0
324,2020-01-09 17:57:33,0.0,0,0,3.9,0
325,2020-01-09 17:58:33,0.0,0,0,3.9,0
326,2020-01-09 17:59:33,0.0,0,0,3.9,0
327,2020-01-09 18:00:33,0.0,0,0,3.9,0
328,2020-01-09 18:01:33,0.0,0,0,3.9,0
329,2020-01-09 18:02:33,0.0,0,0,3.9,0
330,2020-01-09 18:03:33,0.0,0,0,3.9,0
331,2020-01-09 18:04:33,0.0,0,0,3.9,0
332,2020-01-09 18:05:33,0.0,0,0,3.9,0
333,2020-01-09 18:06:33,0.0,0,0,3.9,0
334,2020-01-09 18:07:33,0.0,0,0,3.9,0
335,2020-01-09 18:08:33,0.0,0,0,3.9,0
336,2020-01-09 18:09:33,0.0,0,0,3.9,0
337,2020-01-09 18:10:33,0.0,0,0,3.9,0
338,2020-01-09 18:11:33,0.0,0,0,3.9,0
339,2020-01-09 18:12:33,0.0,0,0,3.9,0
340,2020-01-09 18:13:33,0.0,0,0,3.9,0
341,2020-01-09 18:14:33,0.0,0,0,3.9,0
342,2020-01-09 18:15:33,0.0,0,0,3.9,0
343,2020-01-09 18:16:33,0.0,0,0,3.9,0
344,2020-01-09 18:17:33,0.0,0,0,3.9,0
345,2020-01-09 18:18:33,0.0,0,0,3.9,0
346,2020-01-09 18:19:33,0.0,0,0,3.9,0
347,2020-01-09 18:20:33,0.0,0,0,3.9,0
348,2020-01-09 18:21:33,0.0,0,0,3.9,0
349,2020-01-09 18:22:33,0.0,0,0,3.9,0
350,2020-01-09 18:23:33,0.0,0,0,3.9,0
351,2020-01-09 18:24:33,0.0,0,0,3.9,0
352,2020-01-09 18:25:33,0.0,0,0,3.9,0
353,2020-01-09 18:26:33,0.0,0,0,3.9,0
354,2020-01-09 18:27:33,0.0,0,0,3.9,0
355,2020-01-09 18:28:33,0.0,0,0,3.9,0
356,2020-01-09 18:29:33,0.0,0,0,3.9,0
357,2020-01-09 18:30:33,0.0,0,0,3.9,0
358,2020-01-09 18:31:33,0.0,0,0,3.9,0
359,2020-01-09 18:32:33,0.0,0,0,3.9,0
360,2020-01-09 18:33:33,0.0,0,0,3.9,0
361,2020-01-09 18:34:33,0.0,0,0,3.9,0
362,2020-01-09 18:35:33,0.0,0,0,3.9,0
363,2020-01-09 18:36:33,0.0,0,0,3.9,0
364,2020-01-13 10:03:57,30.2,1,0,3.9,1248
365,2020-01-13 10:04:57,30.9,1,0,3.9,1120
366,2020-01-13 10:05:57,31.3,1,0,3.9,992
367,2020-01-13 10:06:57,31.2,1,0,3.9,2016
368,2020-01-13 10:07:57,31.1,1,0,3.9,864
369,2020-01-13 10:09:17,30.5,1,54,9.3,2368
370,2020-01-13 10:10:17,29.9,1,20,-1.6,1952
371,2020-01-13 10:11:17,29.6,1,13,-0.3,1312
372,2020-01-13 10:12:17,29.3,1,29,9.4,1152
373,2020-01-13 10:13:17,29.6,1,49,11.1,2720
374,2020-01-13 10:14:17,29.7,1,55,10.1,2368
375,2020-01-13 10:15:17,29.3,1,42,10.9,1792
376,2020-01-13 10:16:17,29.0,1,24,6.4,992
377,2020-01-13 10:17:17,28.8,1,55,7.8,2336
378,2020-01-13 10:18:17,28.8,1,0,10.7,832
379,2020-01-13 10:19:17,28.9,1,0,11.7,832
380,2020-01-13 10:21:17,59.3,1,17,26.6,1536
381,2020-01-13 10:24:56,59.3,1,57,23.8,2368
382,2020-01-13 10:25:56,59.1,1,60,14.0,2560
383,2020-01-13 10:26:56,58.8,1,46,19.5,1952
384,2020-01-13 10:27:56,58.9,1,77,10.1,2816
385,2020-01-13 10:28:56,59.0,1,79,13.3,2912
386,2020-01-13 10:29:56,59.1,1,71,24.8,2528
387,2020-01-13 10:30:56,59.2,1,76,16.5,2752
388,2020-01-13 10:31:56,59.1,1,83,18.0,3040
389,2020-01-13 10:32:56,59.1,1,83,29.6,3008
390,2020-01-13 10:33:56,58.9,1,79,15.3,2944
391,2020-01-13 10:34:56,58.5,1,81,19.5,2944
392,2020-01-13 10:35:56,58.7,1,83,22.6,3040
393,2020-01-13 10:36:56,58.6,1,75,22.0,2688
394,2020-01-13 10:37:56,58.5,1,71,25.7,3104
395,2020-01-13 10:38:56,58.7,1,85,26.8,3104
396,2020-01-13 10:39:56,58.5,1,81,14.8,2976
397,2020-01-13 10:40:56,58.2,1,84,11.1,3072
398,2020-01-13 10:41:56,58.1,1,84,12.9,3072
399,2020-01-13 10:42:56,58.1,1,81,8.7,2976
400,2020-01-13 10:43:56,58.0,1,81,4.3,3008
401,2020-01-13 10:44:56,57.8,1,83,5.5,3008
402,2020-01-13 10:45:56,58.1,1,85,15.4,3136
403,2020-01-13 10:46:56,58.1,1,76,14.2,2784
404,2020-01-13 10:47:56,57.8,1,85,12.4,3104
405,2020-01-13 10:48:56,58.0,1,85,16.2,3072
406,2020-01-13 10:49:56,57.8,1,81,25.7,2944
407,2020-01-13 10:50:56,57.5,1,85,20.0,3104
408,2020-01-13 10:51:56,57.1,1,85,13.8,3104
409,2020-01-13 10:52:56,57.3,1,83,15.7,3008
410,2020-01-13 10:53:56,57.8,1,85,20.7,3072
411,2020-01-13 10:54:56,57.7,1,76,18.5,2784
412,2020-01-13 10:55:56,57.5,1,76,15.7,2752
413,2020-01-13 10:56:56,57.1,1,68,34.1,2464
414,2020-01-13 10:57:56,57.1,1,77,26.2,1152
415,2020-01-13 10:58:56,57.0,1,81,28.7,2944
416,2020-01-13 10:59:56,56.6,1,82,31.6,2976
417,2020-01-13 11:00:56,56.7,1,82,30.6,2976
418,2020-01-13 11:01:56,56.6,1,74,34.0,2656
419,2020-01-13 11:02:56,56.4,1,66,36.8,2368
420,2020-01-13 11:03:56,56.7,1,24,38.0,2400
421,2020-01-13 11:04:56,56.9,1,23,40.9,896
422,2020-01-13 11:05:56,56.6,1,56,38.7,2400
423,2020-01-13 11:06:56,55.7,1,47,63.5,1952
424,2020-01-13 11:07:56,55.2,1,29,68.2,2848
425,2020-01-13 11:08:56,55.1,1,59,44.4,2496
426,2020-01-13 11:09:56,54.7,1,58,38.8,2464
427,2020-01-13 11:10:56,54.4,1,48,38.2,1568
428,2020-01-13 11:11:56,54.2,1,30,35.6,1888
429,2020-01-13 11:12:56,54.3,1,2,31.8,1056
430,2020-01-13 11:13:56,55.1,1,0,31.8,832
431,2020-01-13 11:14:56,56.2,1,0,32.0,832
432,2020-01-13 11:15:56,57.0,1,0,32.7,832
433,2020-01-13 11:16:56,57.4,1,0,33.5,832
434,2020-01-13 11:17:56,57.6,1,0,33.7,832
435,2020-01-13 11:18:56,57.6,1,0,35.1,832
436,2020-01-13 11:19:56,57.3,1,0,34.4,832
437,2020-01-13 11:20:56,57.0,1,0,34.7,832
438,2020-01-13 11:22:56,0.0,0,0,29.8,0
439,2020-01-13 11:23:56,0.0,0,0,19.9,0
440,2020-01-13 11:24:56,0.0,1,0,20.8,0
441,2020-01-13 11:25:56,0.0,0,0,29.1,0
442,2020-01-13 11:26:56,0.0,0,0,48.0,0
443,2020-01-13 11:27:56,0.0,0,0,41.1,0
444,2020-01-13 11:28:56,0.0,0,0,42.5,0
445,2020-01-13 11:29:56,0.0,0,0,43.5,0
446,2020-01-13 11:30:56,0.0,0,0,43.7,0
447,2020-01-13 11:31:56,0.0,0,0,43.4,0
448,2020-01-13 11:32:56,0.0,0,0,43.4,0
449,2020-01-13 11:33:56,0.0,0,0,43.4,0
450,2020-01-13 11:34:56,0.0,0,0,42.7,0
451,2020-01-13 11:35:56,0.0,0,0,42.7,0
452,2020-01-13 11:36:56,0.0,0,0,42.8,0
453,2020-01-13 11:37:56,0.0,0,0,43.2,0
454,2020-01-13 11:38:56,0.0,0,0,43.6,0
455,2020-01-13 11:39:56,0.0,0,0,43.3,0
456,2020-01-13 11:40:56,0.0,0,0,43.2,0
457,2020-01-13 11:41:56,0.0,0,0,43.9,0
458,2020-01-13 11:42:56,0.0,0,0,42.5,0
459,2020-01-13 11:43:56,0.0,0,0,41.8,0
460,2020-01-13 11:44:56,0.0,0,0,40.8,0
461,2020-01-13 11:45:56,0.0,0,0,40.7,0
462,2020-01-13 11:46:56,0.0,0,0,41.5,0
463,2020-01-13 11:47:56,0.0,0,0,41.8,0
464,2020-01-13 11:48:56,0.0,0,0,42.9,0
465,2020-01-13 11:49:56,0.0,0,0,43.3,0
466,2020-01-13 11:50:56,0.0,0,0,44.0,0
467,2020-01-13 11:51:56,0.0,0,0,43.7,0
468,2020-01-13 11:52:56,0.0,0,0,43.7,0
469,2020-01-13 11:53:56,0.0,0,0,44.5,0
470,2020-01-13 11:54:56,0.0,0,0,44.5,0
471,2020-01-13 11:55:56,0.0,0,0,44.4,0
472,2020-01-13 11:56:56,0.0,0,0,45.3,0
473,2020-01-13 11:57:56,0.0,0,0,45.2,0
474,2020-01-13 11:58:56,0.0,0,0,45.8,0
